Tag,Content
RefuseBondageFromDamsel,(Sie sieht den Gegenstand und lehnt ihn ab.|Als Jungfrau brauchst du +10 Dominanz dafür.)
RefuseBondageFromKnight,(Sie sieht den Gegenstand und lehnt ihn ab.|Als Ritter brauchst du +5 Dominanz dafür.)
Crop,"(Du schlägst auf sie ein, während sie|dich trotzig anstarrt und kichert.)"
Rope,"(Du ziehst sie aus und wickelst das Seil|um ihren Körper, wodurch sie erschaudert.)"
TwoRopes,"(Du nimmst ihre Beine und wickelst ein|zweites Seil darum, sodass sie knien muss.)"
Armbinder,(Du zwängst ihre Arme in den|Lederhandschuh und ziehst ihn fest.)
Cuffs,(Sie ergibt sich und nimmt die Hände für|die Handschellen hinter ihren Rücken.)
BallGag,"(Sie beugt sich und öffnet den Mund,|damit du den Ball darin festschnallen kannst.)"
TapeGag,"(Sie ergibt sich und schließt ihre Lippen,|damit du sie zusammenkleben kannst.)"
ClothGag,(Du drückst ihr langsam die Füllung in den Mund|und bindest den Knebel um ihren Kopf.)
CuffsKey,(Du drehst den Schlüssel in ihren|Handschellen und befreist sie.)
VibratingEgg,"(Sie betrachtet das Ei neugierig,|als du es in sie einführst.)"
ChastityBelt,"(Sie gerät angesichts des Gürtels in Panik,|ergibt sich aber, als du ihn um sie schließt.)"
Collar,"(Du brauchst +20 Dominanz und eine Zeremonie,|um einer Schülerin ein Halsband anzulegen.)"
Orgasm,"(Sie kann deiner Berührung nicht standhalten|und bekommt einen Orgasmus mitten auf der Bühne.)"
AcceptRelease,Na klar kann ich dir helfen.|(Sie befreit dich aus deinen Fesseln.)
MasturbateChaste,"(Du bekommst kaum einen Finger unter den Gürtel.|Er ist zu eng, um sie befriedigen zu können.)"
