Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,,Es ist zu voll hier.,"Ja, es wird voll, wenn eine lokale Band spielt.|Hast du sie schon mal spielen gehört? Sie rocken!",10,-1,0,Wait(50000)
0,0,0,,Wir haben gute|Plätze gefunden.,"Ja, verdammt, wir sind ziemlich nah an der Band.|Hast du sie schon mal spielen gehört? Sie rocken!",10,1,0,Wait(50000)
0,0,0,,Ziemlich viele|Leute hier.,"Ja, es wird voll, wenn eine lokale Band spielt.|Hast du sie schon mal spielen gehört? Sie rocken!",10,0,0,Wait(50000)
10,0,0,,Das ist mein|erstes Mal.,Sie spielen meistens Metal und ein paar Balladen.|(Sie schwingt mit dem Kopf im Takt zur Metalmusik.),20,0,0,Wait(50000)
10,0,0,,Es ist zu laut.,"Keine Sorge, es kommen auch ein paar Balladen.|(Sie schwingt mit dem Kopf im Takt zur Metalmusik.)",20,0,-1,Wait(50000)
10,0,0,,"Ich hoffe, sie|spielen Metal.",(Sie macht mit den Fingern eine Pommesgabel|und schwingt mit dem Kopf im Takt zur Metalmusik.),20,0,1,Wait(50000)
10,0,0,,Ich hab sie|schon mal gesehen.,Toll! Ich hab sie vor zwei Jahren gesehen.|(Sie schwingt mit dem Kopf im Takt zur Metalmusik.),20,0,0,Wait(50000)
20,0,0,,(Die Metalmusik|genießen.),(Du genießt mit Sidney die Metalmusik. Gleich|danach spielt die Band eine langsame Ballade.),30,0,0,Wait(230000)
20,0,0,,(Einen Slamdance|anfangen.),(Du slammst mit Sidney zur Metalmusik.|Gleich danach spielt die Band eine langsame Ballade.),30,0,1,Wait(230000)
20,0,0,,(Dir die Ohren|zuhalten.),"(Du hältst dir die Ohren zu, Sidney genießt die Musik.|Gleich danach spielt die Band eine langsame Ballade.)",30,0,-1,Wait(230000)
30,0,0,,Das ist schön.,"Es ist okay, aber es rockt nicht genug.|Romantisch ist es schon. (Sie zwinkert.)",40,0,0,Wait(50000)
30,0,0,,Das ist mein|Lieblingssong.,Sie haben sehr viel bessere Songs.|Aber romantisch ist er schon. (Sie zwinkert.),40,-1,0,Wait(50000)
30,0,0,,(Mitsingen.),(Sie summt den Song mit dir mit.)||Das ist romantisch. (Sie zwinkert.),40,0,0,Wait(50000)
30,0,0,,Das davor|war besser.,"Ja, Mann, diese Ballade ist viel zu lahm.|Aber romantisch ist sie schon. (Sie zwinkert.)",40,0,0,Wait(50000)
40,0,0,,(Ihre Hand nehmen.),(Ihr fasst euch an den Händen und lächelt.)|(Der Song wird sehr romantisch.),50,1,0,Wait(50000)
40,0,0,,(Ihren Hals küssen.),(Du küsst ihren Hals und sie kichert.)|(Der Song wird sehr romantisch.),50,1,0,Wait(50000)
