Tag,Content
Intro1,Um 15:40 Uhr betritt endlich die Lehrerin den Klassenraum.
Intro2,"Sie stellt sich als Mildred vor, eine Vertretungslehrerin."
Intro3,Sie trägt einen Aktenkoffer und eine starre Ledergerte bei sich.
Intro4,"Sie starrt Sidney an, die ihre Füße vom Tisch nimmt."
Intro5,Sie stellt sich vor das Podium und erhebt die Stimme.
IntroDefiant1,Um 15:40 Uhr betritt endlich die Lehrerin den Klassenraum.
IntroDefiant2,"Du erkennst Mildred, die diese Stunde die Vertretung übernimmt."
IntroDefiant3,Sie trägt einen Aktenkoffer und eine starre Ledergerte bei sich.
IntroDefiant4,Sie starrt dich feindselig an und deutet mit der Gerte in deine Richtung.
IntroDefiant5,Sie stellt sich vor das Podium und erhebt die Stimme.
