Tag,Content
SurpriseAttack,"(Ohne Vorwarnung springt sie auf dich zu,|beugt dich über den Tisch und hebt deinen Rock.)"
BallGag,"(Du zwängst ihr den Ball in den Mund und|schnallst ihn fest, während sie protestiert.)"
UnlockWarning,"(Willst du sie wirklich befreien?|Wenn ja, klicke den Schlüssel erneut an.)"
Unlock,"(Nachdem du sie befreist, hält sie dich fest und fesselt|dich.) Du hast dir Ärger erspart, kleines Fräulein."
Rope,"(Du wickelst das Seil um ihren Körper und machst feste|Knoten. Danach entfernst du die Handschellen.)"
Cuffs,"(Du legst ihr die Handschellen wieder an und löst alle|Knoten, während sie vergeblich nach dir tritt.)"
Disturb1,"(Sie sieht dich kurz an.) Junge Dame, sei still|während des Unterrichts, wir können später reden."
Disturb2,"(Sie sieht dich verärgert an.) Junges Fräulein!|Hör sofort auf, den Unterricht zu stören!"
Disturb3,(Sie sieht wütend aus.) Letzte Ermahnung!|Bei der nächsten Unterbrechung wirst du gefesselt.
Disturb4,"(Sie nagelt dich fest und hebt deinen Rock.)|Junge Dame, dir werden jetzt Manieren beigebracht."
SubdueAlone,"(Allein gelingt es dir nicht und sie nagelt dich fest.)|Junge Dame, dir werden jetzt Manieren beigebracht."
SubdueSidney,"(Du und Sidney scheitern und sie nagelt dich fest.)|Junge Dame, dir werden jetzt Manieren beigebracht."
SubdueAmanda,"(Du und Amanda scheitern und sie nagelt dich fest.)|Junge Dame, dir werden jetzt Manieren beigebracht."
SubdueSarah,"(Du und Sarah scheitern und sie nagelt dich fest.)|Junge Dame, dir werden jetzt Manieren beigebracht."
SubdueSuccess,"(Mit deinen Helfern gelingt es dir, Mildred zu|entkleiden. In ihren Sachen findest du Handschellen.)"
