Tag,Content
PlayerFree1,"Jenna kommt rüber. ""Ah, COMMON_PLAYERNAME,|ich fragte mich schon, wie du klarkommst."""
PlayerFree2,"""Erzähl es mir ein andermal."""
PlayerFree3,"""Ich hab da was für dich."""
PlayerFree4,Sie lenkt deine Aufmerksamkeit zur Mitte des Raums.
PlayerFree5,Der nächste Teil folgt in einer zukünftigen Version.
Enslaved1,"Jenna kommt rüber. ""Erica, ich kaufe diese Sklavin mit den pinken Haaren."""
Enslaved2,"Erica: ""Hast du diesmal zufällig auch vor, zu bezahlen?"""
Enslaved3,"Jenna: ""Nein, schreib sie mir einfach auf die Rechnung."""
Enslaved4,Jenna führt dich in die Mitte des Clubraums.
Enslaved5,Der nächste Teil folgt in einer zukünftigen Version.
ChairCuffed1,"Jenna kommt rüber. ""Was haben wir denn da?"""
ChairCuffed2,"""So siehst du unwiderstehlich aus, das hätte mir Nicole vorher sagen sollen."""
ChairCuffed3,Sie verbindet deine Handgelenke mit Handschellen und entfernt all die anderen.
LaurenCuffedStrppado,Sie trennt deine Handschellen von der Kette.
LaurenCuffedStrppadoLegs,Sie entfernt deine Fußfesseln und trennt deine Handschellen von der Kette.
ChairCuffed4,Dann führt sie dich in die Mitte des Clubraums.
ChairCuffed5,Der nächste Teil folgt in einer zukünftigen Version.
ChloeSub1,"Jenna kommt rüber. ""Sieht aus, als hättest du|endlich eine Spielkameradin gefunden."""
ChloeSub2,"Chloe: ""Oh, COMMON_PLAYERNAME war ein richtiger Schatz."""
ChloeSub3,"Chloe: ""Kann ich sie noch eine Weile behalten?"""
ChloeSub4,"Jenna: ""Tut mir leid, ein andermal."" Sie nimmt dich mit in den Raum."
LeftChair1,Deine Augenbinde wird entfernt und du siehst Jenna über dir stehen.
LeftChair2,"""Wow, ich konnte Chloe nicht glauben, als sie es mir sagte."""
LeftChair3,"""So bist du wirklich verlockend, aber dafür ist jetzt keine Zeit."""
LeftChair4,Sie befreit dich vom Stuhl und führt dich in den Raum.
Manacles1,"""Ist es denn schon soweit?"""
Manacles2,Sie befreit deine Füße und nimmt die Ketten von der Wand.
Manacles3,"""Ich hab eine Überraschung für dich."""
Manacles4,Dann führt sie dich in die Mitte des Clubraums.
Manacles5,Der nächste Teil folgt in einer zukünftigen Version.
