Tag,Content
Outro1,"Die Glocke läutet erneut, deine letzte Stunde des Tages ist vorüber."
NoType,Du gähnst und streckst dich nach der langen|und uninteressanten Unterrichtsstunde.
LostVersusSidney,Sidney lacht über deine Niederlage gegen sie.
WonVersusSidney,"Da du gewonnen hast, meidet Sidney das Gespräch mit dir."
LostVersusMildred,Mildred peitscht dir beim Hinausgehen ein letztes Mal auf den Hintern.
WonVersusMildred,"Mildred verlässt schnell den Raum, ohne mit dir zu reden."
StrictLeader,Die Schülerinnen verhalten sich leise und gehen dir aus dem Weg.
FairLeader,Einige Schülerinnen loben deine Darbietung.
EasyLeader,"Viele Schülerinnen kommen zu dir, um Handynummern auszutauschen."
Outro2,Du nimmst deine Sachen und gehst zu deinem Zimmer zurück.
OutroClub1,"Die Glocke läutet erneut, deine letzte Stunde des Tages ist vorüber."
OutroClub2,Du nimmst deine Tasche und findest eine mysteriöse Karte darin.
OutroClub3,"Es ist eine Einladung, du weißt jedoch nicht, von wem."
OutroClub4,"Es geht um eine Veranstaltung, die heute Abend im ""Bondage-Club"" stattfindet."
OutroClub5,Du nimmst deine Sachen und gehst zu deinem Zimmer zurück.
