Tag,Content
PlayerBallGag,"Du ziehst dir das Geschirr über den Kopf,|schiebst den Ball hinein und schnallst die Gurte fest."
PlayerClothGag,Du stopfst dir ein Tuch in den Mund und bindest|ein weiteres darüber und um deinen Kopf.
PlayerTapeGag,Du ziehst ein Stück Klebeband ab|und drückst es fest an deinen Mund.
PlayerVibratingEgg,Du steckst dir das Vibrator-Ei schnell in die Vagina.
PlayerChastityBelt1,"Bist du sicher, dass du dich selbst in den|Gürtel sperren willst? Wenn ja, klicke erneut."
PlayerChastityBelt2,"Du holst tief Luft und schließt den Gürtel|um dich. Er rastet mit einem lauten ""Klick"" ein."
LockAllManacles,Du kniest dich hin und legst deine Knöchel in Ketten.|Danach sicherst du deine Handgelenke hinter dir.
JennaAppears,Nach einer Weile betritt Jenna|den Raum und kommt zu dir herüber.
StareDown,"(Du fixierst Jenna mit einem ernsten Blick, bis sie|zuerst blinzelt.) Möchtest du diesen Knebel loswerden?"
JennaRemovesGag,"Ich schätze, ich kann dir helfen. (Sie nimmt dir den|Knebel ab.) Also, wer hat dich denn darin eingesperrt?"
LieToJenna,"Lüg mich nicht an, ich habe eine Bildnachricht von|Cassidy. Du bist jetzt meine Sklavin, also benimm dich."
LooseTime,"Du hast verloren und nur COMMON_NUMBER|durchgehalten. Also, hast du eine Erlösung verdient?"
DecentTime,"Gut gemacht, COMMON_NUMBER durchzuhalten ist|nicht schlecht. Also, hast du eine Erlösung verdient?"
ImpressiveTime,"Wow, du hast COMMON_NUMBER durchgehalten,|beeindruckend. Also, hast du eine Erlösung verdient?"
LoosePeakTime,"Du hast verloren und schon nach COMMON_NUMBER die|Spitze erreicht. Also, verdienst du eine Erlösung?"
DecentPeakTime,"Gut gemacht, COMMON_NUMBER bis zur Spitze durchzuhalten|ist nicht schlecht. Also, verdienst du eine Erlösung?"
ImpressivePeakTime,"Wow, du hast COMMON_NUMBER bis zur Spitze durchgehalten.|Beeindruckend. Also, verdienst du eine Erlösung?"
TeaseStage1,Jenna reizt deinen Körper|mit Kitzeleien und dem Pinsel.
TeaseStage2,Jenna reizt deine Nippel.
TeaseStage3,Jenna reizt deine Klitoris.
TeaseStage4,Jenna reizt sanft deine Klitoris und|hält dich auf der Schwelle.
BreastsOut,"(Jenna zieht deinen BH herab und|hebt deine Brüste an, um sie zu reizen.)"
PantiesDown,"(Jenna zieht dein Höschen herunter und fängt|an, sanft über deinen Intimbereich zu pinseln.)"
ClitBrushChaste,(Jenna zieht deine Lippen auseinander und streift mit|dem Pinsel durch die Lücke im Gürtel deine Klitoris.)
DisruptBreathing,"(Jenna hält dir den Mund zu und kneift dir in die|Nase, wodurch sie kurz deine Atemtechnik unterbricht.)"
IntensifySenses,"(Du versuchst es auszublenden, aber das Pinselgefühl|scheint jetzt nur noch stärker zu werden.)"
ShortenLeash,"Ich hab dich gewarnt. (Jenna kürzt mit einem Schloss|die Kette zur Wand, sodass sie dich straff aufrecht hält.)"
NoSit,(Die Kette am Hals hält dich oben.|Du kannst jetzt nur noch knien.)
SexyThoughts,"(Du versuchst dich abzulenken, kommst aber nur|auf weitere erregende und erotische Gedanken.)"
RememberOrgasms,(All diese vorherigen Orgasmen heute. Einen Orgasmus|zu bekommen ist für dich jetzt das Beste auf der Welt.)
BadLanguageGagged,"Ich hab gerade keine Seife zur Hand, aber ich habe dich|gewarnt. (Jenna stopft deinen Mund mit einem Knebel.)"
NoAvoid,(Mit der kurzen Halskette kannst du dich kaum noch|bewegen und den Reizen nicht entgehen.)
NoBanana,Hör auf zu jammern und falschen Alarm zu geben.|(Jenna reizt dich weiter.)
WhatWasThat,Was war das? Ich konnte dich nicht richtig verstehen.
CoverUp,"Es tut mir leid, ich wollte dich nicht zu weit treiben.|(Jenna rückt deine Unterwäsche zurecht.)"
CoverUpGag,"Es tut mir leid, ich wollte dich nicht zu weit treiben.|(Jenna richtet dich her und nimmt den Knebel ab.)"
Reward,"Ich glaube, du hast dir eine Erlösung verdient.|(Jenna holt einen großen Vibrator hervor.)"
NoReward,"Ich hatte vor, dich zu erlösen, aber das war zu einfach.|(Sie macht dich zurecht und lässt dich dann zurück.)"
DoubleGrind,"Du bist zu ungeduldig, lerne Manieren.|(Sie macht dich zurecht und lässt dich dann zurück.)"
DoneFor,"Du bist bereits gekommen, Süße.|(Jenna hört auf und befreit dich von den Ketten.)"
Mistress,Es gibt jetzt noch eine Sache zu tun.|(Jenna hält ein Halsband hoch.)
SeeCollar,"Halt still, ich will dieses Halsband sehen, das du trägst."
LockCollar,"(Jenna zieht dein Halsband fest und schließt es ab.) Viel|besser, jetzt bin ich wirklich deine Herrin, meine Kleine."
Collar,
Crop,
Rope,
Cuffs,
BallGag,
TapeGag,
ClothGag,
VibratingEgg,
Blindfold,
