Tag,Content
MildredComesForCuffs,"(Mildred geht zu dir.) Damit der Test gut verläuft,|werde ich dir Handschellen anlegen, junges Fräulein."
SidneyStares,"(Sidney versucht sich zu befreien und schaut|dich böse an, während Mildred zurück geht.)"
TestSidneyCuffs,"(Mildred legt Sidney Handschellen an.) Diese|Fesseln werden dir helfen, dich zu konzentrieren."
TestSidneyNoSkirt,"(Mildred entfernt Sidneys Rock.) Etwas Demütigung|wird dich erinnern, die Hausaufgaben zu machen."
TestSidneyNoSkirtChastity,(Mildred entfernt Sidneys Rock und zeigt ihren Gürtel.)|Erinnere dich an diese Demütigung und lerne mehr.
TestSidneyCrop,"(Mildred schlägt Sidneys Hintern ziemlich doll.) Wenn|dich nichts anderes diszipliniert, dann hilft Schmerz."
TestSidneyCropAgain,(Mildred schlägt Sidneys Hintern und grinst.) Schmerz|macht dich stärker. Schmerz macht dich besser.
TestPlayerCuffs,"(Mildred legt dir Handschellen an.) Diese|Fesseln werden dir helfen, dich zu konzentrieren."
TestPlayerNoSkirt,"(Mildred entfernt deinen Rock.) Etwas Demütigung|wird dich erinnern, die Hausaufgaben zu machen."
TestPlayerNoSkirtChastity,(Mildred entfernt deinen Rock und zeigt deinen Gürtel.)|Erinnere dich an diese Demütigung und lerne mehr.
TestPlayerCrop,"(Mildred schlägt deinen Hintern ziemlich doll.) Wenn|dich nichts anderes diszipliniert, dann hilft Schmerz."
TestPlayerCropAgain,(Mildred schlägt deinen Hintern und grinst.) Schmerz|macht dich stärker. Schmerz macht dich besser.
ShameForDefeat,Du solltest dich schämen.|Du hast gegen die schlechteste Schülerin verloren.
TestMildredCuffs,"(Sidney legt Mildred Handschellen an.)|Genieße es, Sidney, du wirst es nie wieder tun."
TestMildredNoSkirt,"(Sidney entfernt Mildreds Rock.)|Das ist unglaublich, ein weiteres Mal verliere ich nicht."
TestMildredCrop,(Sidney schlägt Mildreds Hintern ziemlich doll.)|Schummelt ihr beiden etwa? Dafür werdet ihr büßen!
TestMildredCropAgain,(Sidney schlägt Mildreds Hintern und lacht lauthals.)|Au! Eines Tages räche ich mich an euch beiden.
MildredFreedBySidney,"(Sidney schmollt aber befreit Mildred.)|Ja, hast du also etwas gelernt?"
TestPlayerCuffsMildred,"(Sidney legt dir Handschellen an.) Diese|Fesseln werden dir helfen, dich zu konzentrieren."
TestPlayerNoSkirtMildred,"(Sidney entfernt deinen Rock.) Etwas Demütigung|wird dich erinnern, die Hausaufgaben zu machen."
TestPlayerNoSkirtMildredChastity,(Sidney entfernt deinen Rock und zeigt deinen Gürtel.)|Erinnere dich an diese Demütigung und lerne mehr.
TestPlayerCropMildred,"(Sidney schlägt deinen Hintern ziemlich doll.) Wenn|dich nichts anderes diszipliniert, dann hilft Schmerz."
TestPlayerCropAgainMildred,(Sidney schlägt deinen Hintern und lacht.) Schmerz|macht dich stärker. Schmerz macht dich besser.
MildredShameForDefeat,"(Sie senkt den Kopf.) Ja, der Test ist vorbei.|Glückwunsch, junge Dame, du bist siegreich."
