Stage,LoveReq,SubReq,VarReq,Interaction,Result,NextStage,LoveMod,SubMod,Function
0,0,0,Common_PlayerGagged,@Mnaaaeg mmh!,(Sie sieht auf deinen Knebel und kichert.),0,0,0,
0,0,0,HasEgg,Wie hast du es|herausbekommen?,"Das ist etwas peinlich, aber ich musste|es richtig krampfhaft hinausdrücken.",0,0,0,
0,0,0,HasEgg,Kann ich das Ei|zurückbekommen?,"Zu spät, ich hab's weggeworfen.",0,0,0,QueryEgg()
0,0,0,HasEgg,"Jen, ich will|das Ei zurück.","Zu spät, ich hab's weggeworfen.",0,-1,1,QueryEgg()
0,0,0,,Was machst|du denn hier?,Ich lese etwas über die|Geschichte der Olympiade.,10,0,0,
0,0,0,,Wie geht's dir?,"Gut, danke, ich lese etwas über die|Geschichte der Olympischen Spiele.",10,1,0,
0,0,0,,Diese Bibliothek|ist ziemlich öde.,Finde ich nicht. Ich hab ein interessantes Buch über|die Geschichte der Olympischen Spiele gefunden.,10,-1,0,
0,0,0,TennisVictory,Wir könnten später|Tennis spielen.,Toll! Und diesmal gewinne ich!,0,0,0,
0,0,0,TennisDefeat,Wir könnten später|Tennis spielen.,Super! Vielleicht gewinnst du ja diesmal.,0,0,0,
10,0,0,,Die Olympiade?|Das ist interessant.,"Durchaus, die Spiele sind auch sehr politisch.|Und du? Wonach suchst du?",20,1,0,
10,0,0,!BookAlreadyFound,Ich muss ein|Buch finden.,Ach? Welches Buch suchst du denn?,20,0,0,
10,0,0,,Wen kümmert|die Olympiade?,(Sie runzelt die Stirn.) Millionen von Leuten.|Egal. Wonach suchst du denn?,20,-1,0,
10,0,0,,Nimm kein Doping wie|die ganzen Sportler.,(Sie schüttelt den Kopf.) Natürlich nicht.|Und du? Wonach suchst du?,20,0,1,
10,0,0,,Du wärst eine|großartige Olympierin.,Das ist wirklich sehr nett von dir.|Und du? Wonach suchst du?,20,1,-1,
20,0,0,BookAlreadyFound,Ich habe mein Buch|schon gefunden.,Gut! Dann viel Spaß beim Lesen.,100,0,0,
20,0,0,,Der Graf von|Monte Christo.,"Das findest du bestimmt im Literatur-Bereich.|Geh von hier zurück, geradeaus und dann rechts.",40,0,0,
20,0,0,,Fifty Shades of Grey.,"(Sie kichert.) Ich bezweifle stark, dass|du dieses Buch hier findest.",30,0,-1,
20,0,0,,Justine von|Marquis de Sade.,"Au weia! Das könnte im geschlossenen Bereich sein.|Frag mal Miss Yuki, sie ist hier irgendwo.",30,0,1,
30,0,0,,"Ich suche auch ""Der|Graf von Monte Christo.""","Das findest du bestimmt im Literatur-Bereich.|Geh von hier zurück, geradeaus und dann rechts.",40,0,0,
30,0,0,,"Danke, Jen!|(Weggehen.)",,100,0,0,PlayerLeave()
30,0,0,,(Weggehen.),,100,-1,0,PlayerLeave()
40,0,0,,"Danke, Jen!|(Weggehen.)",,100,0,0,PlayerLeave()
40,0,0,,(Weggehen.),,100,-1,0,PlayerLeave()
100,0,0,,Warum sitzt du|so komisch?,Was stimmt denn nicht mit meiner Sitzart?,110,0,0,
100,0,0,,Das sieht nicht|bequem aus.,"Geht schon, ich finde es bequem genug.",110,0,0,
100,0,0,,Kann ich mich|zu dir setzen?,"Entschuldige, aber ich lese lieber allein.",100,0,0,TestSitTogether()
100,0,5,,"Weg da, ich|will hier sitzen.","Na gut, du kannst meinen Platz haben.|(Sie steht auf und geht weg.)",190,-1,1,JenniferLeave()
110,0,0,,"Entspann dich doch etwas,|benutze die ganze Couch.","Ich kann mich nicht über die ganze Couch legen.|Was, wenn sich jemand setzen will?",120,0,0,
110,0,0,,Du benutzt nur ein|Drittel der Couch.,"Ich kann mich nicht über die ganze Couch legen.|Was, wenn sich jemand setzen will?",120,0,0,
110,0,0,,Du siehst so einsam aus.|Benutze die ganze Couch.,"Ich kann mich nicht über die ganze Couch legen.|Was, wenn sich jemand setzen will?",120,0,0,
110,0,0,,Kann ich mich|zu dir setzen?,"Entschuldige, aber ich lese lieber allein.",110,0,0,TestSitTogether()
110,0,5,,"Weg da, ich|will hier sitzen.","Na gut, du kannst meinen Platz haben.|(Sie steht auf und geht weg.)",190,-1,1,JenniferLeave()
120,0,0,,"Leg dich doch hin, dann|wirkst du nicht so einsam.",Einsam? Sehe ich echt so einsam aus?|(Sie legt sich auf die Couch.),130,-1,0,NewPose()
120,0,0,,"Leg dich hin, das|wirkt selbstsicherer.",Ich wollte nicht unsicher wirken.|(Sie legt sich auf die Couch.),130,0,0,NewPose()
