Tag,Content
LayNaked,"Du machst es dir auf dem Bett|gemütlich, um zu masturbieren."
StripNaked,"Du ziehst dich aus und legst dich|aufs Bett, um zu masturbieren."
Chaste,"Du versuchst, einen Finger unter den Gürtel zu|stecken, aber es ist unmöglich, dich zu befriedigen."
NotInTheMood,"Du versuchst zu masturbieren, aber du bist|nicht mehr in Stimmung. Warte ein wenig."
GettingClose,"Du stöhnst und zitterst.|Du spürst, dass ein Orgasmus naht."
CannotMasturbateWithGuest,"Du kannst nicht masturbieren, während du Gäste|hast, die in keiner Beziehung mit dir sind."
LayMistressApprove,"Du legst dich nackt ins Bett, während deine Herrin|zuschaut und dir einen Daumen nach oben zeigt."
LayMistressDisapprove,"Du legst dich nackt ins Bett, während|deine Herrin zuschaut und die Stirn runzelt."
SexSidneyPartnerOrgasm,Ja! Jaaa! Jaaaaaaa! FUUUUUUUUUCK!|(Sidney schüttelt sich in einem enormen Orgasmus.)
SexSidneyPlayerOrgasm,(Sidney beschleunigt ihre Finger. Du zitterst|und stöhnst in einem enormen Orgasmus.)
SexSidneySimultaneousOrgasm,(Ihr befriedigt euch liebevoll gegenseitig und|erlangt einen wundervollen gleichzeitigen Orgasmus.)
SexStopSidneyPartnerNoOrgasm,Fuck! Du bist viel zu früh gekommen.|Das nächste Mal sollten wir langsamer sein.
SexStopSidneyPlayerNoOrgasm,"(Ihr ist nicht aufgefallen, dass du keinen|Orgasmus hattest.) Das war der Hammer!"
SexStopSidneyRefuse,"(Sie zieht dich wieder zurück.) Oh nein, Bitch!|Du gehst nirgendwo hin, bis ich komme."
SexAmandaPartnerOrgasm,"(Amanda beißt sich auf die Lippe, um nicht zu schreien,|aber zittert und atmet schwer, nachdem sie kommt..)"
SexAmandaPlayerOrgasm,(Sie rammt ihre Zunge tief und energisch hinein.|Du zitterst und stöhnst in einem schönen Orgasmus.)
SexAmandaSimultaneousOrgasm,(Ihr leckt euch liebevoll und leidenschaftlich und|erlangt einen wundervollen gleichzeitigen Orgasmus.)
SexStopAmandaPartnerNoOrgasm,"Ich... Ich bin nicht... Ich hoffe, es hat dir gefallen.|(Sie wird rot.) Es ging irgendwie schnell."
SexStopAmandaPlayerNoOrgasm,"Hattest du deinen Orgasmus?|Ich wollte, dass wir beide Spaß haben."
SexStopAmandaRefuse,"(Sie zieht dich zurück.) Tut mir leid, meine Sklavin.|Du darfst nicht aufstehen, bis ich im Paradies bin."
SexSarahPartnerOrgasm,(Sarah kreischt und bespritzt dich mit|einem langen und heftigen Orgasmus.)
SexSarahPlayerOrgasm,(Sie reibt ihren Unterleib gekonnt gegen deinen.|Du zitterst und stöhnst in einem schönen Orgasmus.)
SexSarahSimultaneousOrgasm,"(Ihr klammert euch ans Laken und reibt liebevoll|aneinander, bis zum tollen gleichzeitigen Orgasmus.)"
SexStopSarahPartnerNoOrgasm,Nein! Das ging viel zu schnell!|(Sie bringt sich selbst zum Höhepunkt und steht auf.)
SexStopSarahPlayerNoOrgasm,Das war toll! Bist du gekommen?|Ich hab deinen Orgasmus nicht bemerkt.
SexJenniferPartnerOrgasm,"(Du spürst den Dildo zittern, als|Jennifer einen heftigen Orgasmus erlangt.)"
SexJenniferPlayerOrgasm,"(Sie bewegt sich energisch nach hinten, trifft ins|Schwarze und gibt dir einen großartigen Orgasmus.)"
SexJenniferSimultaneousOrgasm,(Ihr bewegt beide eure Hintern im perfekten Tempo und |erlangt einen wundervollen gleichzeitigen Orgasmus.)
SexStopJenniferPartnerNoOrgasm,"Oh je, sind wir schon fertig?|(Sie seufzt und richtet sich langsam auf.)"
SexStopJenniferPlayerNoOrgasm,"Es war schön, ich hoffe, du hattest Spaß.|(Sie schaut dich fragend an.)"
SexStopJenniferRefuse,"(Sie packt deine Hand und hält dich im Bett fest.)|Bring deine Arbeit zu Ende, mein Schützling."
