Tag,Content
PlayerDamselVillainWin,(Die beiden Ritter machen einen albernen Schwerttanz|und Amanda gewinnt durch Entwaffnung des Gegners.)
PlayerDamselHeroineWin,"(Die beiden Ritter machen einen albernen Schwerttanz|und Sarah gewinnt, indem sie Amanda entwaffnet.)"
RefuseBondageFromDamsel,(Sie sieht den Gegenstand und lehnt ihn ab.|Als Jungfrau brauchst du +10 Dominanz dafür.)
RefuseBondageFromKnight,(Sie sieht den Gegenstand und lehnt ihn ab.|Als Ritter brauchst du +5 Dominanz dafür.)
Crop,"(Du schlägst sie ziemlich doll,|was sie offenbar gar nicht gut findet.)"
Rope,"(Du ziehst sie aus und wickelst das Seil um|ihren Körper, wodurch sie erregt stöhnt.)"
TwoRopes,"(Du nimmst ihre Beine und wickelst ein|zweites Seil darum, sodass sie knien muss.)"
Armbinder,"(Du zwängst ihre Arme in den|Lederhandschuh und ziehst ihn fest.)"
Cuffs,"(Du ergreifst ihre Arme und ziehst sie hinter ihren|Rücken, damit du ihr Handschellen anlegen kannst.)"
BallGag,(Du umschnallst ihren Kopf mit dem strengen|Harnisch und drückst den großen Ball hinein.)
TapeGag,(Du hältst sie am Kinn fest|und klebst ihr den Mund zu.)
ClothGag,(Du stopfst ihr die Füllung in den Mund|und wickelst das Tuch um ihren Kopf.)
CuffsKey,"(Du schließt ihre Handschellen auf, wonach|sie ihre Handgelenke auf Abdrücke überprüft.)"
VibratingEgg,"(Beim Anblick des Eis starrt sie dich an,|aber du steckst es hinein.)"
ChastityBelt,"(Sie sieht den Gürtel besorgt an und akzeptiert|es missmutig, dass du ihn befestigst.)"
Collar,"(Du brauchst +20 Dominanz und eine Zeremonie,|um einer Schülerin ein Halsband anzulegen.)"
Orgasm,"(Sie bekommt mitten auf der Bühne einen Orgasmus|und schaut sich schnell um, ob es jemand bemerkt hat.)"
Ravish,Heute Nacht? Ich will sofort über dich herfallen.|(Sie setzt deine eigenen Sachen gegen dich ein.)
MasturbateChaste,"(Du bekommst kaum einen Finger unter den Gürtel.|Er ist zu eng, um sie befriedigen zu können.)"
