Stage,LoveReq,SubReq,VarReq,IntroText,Image
0,0,0,EmptyDorm,"Du erreichst das Zimmer von Amanda, Sarah, Sidney|und Jennifer. Die Tür ist abgeschlossen.",Door.jpg
100,0,0,,(Amanda öffnet die Tür und lässt dich rein.)|Es wird langsam spät. Brauchst du etwas?,
100,10,0,,(Amanda öffnet die Tür und lässt dich rein.)|Schön dich zu sehen. Brauchst du etwas?,
100,-10,0,,(Amanda öffnet die Tür und lässt dich rein.)|Solltest du nicht schon schlafen? Brauchst du etwas?,
100,0,-10,,"(Amanda öffnet die Tür und lässt dich rein.)|Hast du dich verlaufen, Mädchen? Brauchst du etwas?",
100,0,10,,"(Amanda öffnet die Tür und begrüßt dich.)|Willkommen, Miss. Brauchen Sie etwas?",
100,0,0,Common_ActorIsLover,"(Amanda öffnet die Tür und küsst dich.)|Willkommen, meine Liebe. Brauchst du etwas?",
100,0,0,Common_ActorIsOwner,"(Amanda öffnet die Tür und lässt dich rein.)|Hallo, meine Kleine. Brauchst du etwas?",
100,0,0,Common_ActorIsOwned,"(Amanda öffnet die Tür und begrüßt dich.)|Willkommen, Herrin. Braucht Ihr etwas?",
200,0,0,,"(Sarah öffnet die Tür und lässt dich rein.)|Hey! Was geht, COMMON_PLAYERNAME?",
200,10,0,,"(Sarah öffnet die Tür und lächelt.)|Hey! Was geht, Sportsfreundin?",
200,-10,0,,(Sarah öffnet die Tür und runzelt die Stirn.)|Was machst du hier? Was ist los?,
200,0,-10,,"(Sarah öffnet die Tür und grinst.)|Hey, Mädel. Was ist los?",
200,0,10,,"(Sarah öffnet die Tür und begrüßt dich.)|Hallo, Miss. Wie geht es Ihnen heute?",
200,0,0,Common_ActorIsLover,"(Sarah öffnet die Tür und lächelt.)|Hey, Sexy! Was geht ab?",
200,0,0,Common_ActorIsOwned,"(Sarah öffnet die Tür und begrüßt dich.)|Guten Abend, Herrin. Was ist los?",
200,0,0,IsolationVisit,(Sarah öffnet die Tür und lächelt.)|Meine Isolationsgefährtin! Was geht ab?,
300,0,0,,"(Jennifer öffnet die Tür und lässt dich rein.)|Hallo, COMMON_PLAYERNAME.",
300,10,0,,"(Jennifer öffnet die Tür und lächelt.)|Hallo, schön dich zu sehen.",
300,-10,0,,(Jennifer öffnet die Tür und runzelt die Stirn.)|Du bist's! Was machst du denn hier?,
300,0,-10,,"(Jennifer öffnet die Tür und grinst.)|Hi, Mädel. Brauchst du etwas Hilfe?",
300,0,0,JenniferBelt,"(Jennifer öffnet die Tür und lässt dich rein.)|Ich hoffe, du hast den Gürtelschlüssel dabei.",
300,0,10,,(Jennifer öffnet die Tür und begrüßt dich.)|Guten Abend. Es ist mir eine Freude.,
300,0,0,WearingTennisOutfit,"(Jennifer öffnet die Tür und begrüßt dich.) Es ist schön,|dich wieder in deiner Tenniskleidung zu sehen.",
310,0,0,,"(Jennifer kommt dich begrüßen.)|Hallo, COMMON_PLAYERNAME.",
310,10,0,,"(Jennifer kommt dich begrüßen.)|Hallo, schön dich zu sehen.",
310,-10,0,,(Jennifer kommt dich begrüßen.)|Was machst du denn hier?,
310,0,-10,,"(Jennifer kommt dich begrüßen.)|Hi, Mädel. Brauchst du Hilfe?",
310,0,0,JenniferBelt,"(Jennifer kommt dich begrüßen.)|Ich hoffe, du hast den Gürtelschlüssel dabei.",
310,0,10,,(Jennifer kommt dich begrüßen.)|Guten Abend. Es ist mir eine Freude.,
310,0,0,WearingTennisOutfit,"(Jennifer kommt dich begrüßen.) Es ist schön,|dich wieder in deiner Tenniskleidung zu sehen.",
