"Tag	Content	",Content
"NoBondage	",新来的你在做什么？|把这个放下，拿起你的画笔。
"RopeJulia		",（你把绳子绕在她丰满的身体上收紧打结）|这就是艺术！
"RopePlayer		",嘶~现在是使用这些绳子的时候了~|（她抓住了你的胳膊并紧紧地捆住）
"RopeStripPlayer		",嘶~现在是时候把你捆起来了~|（她摁住你，扭住你的胳膊并紧紧捆住）
"BallGag		",（在你试图给她塞口球时她拼命地摇头，|但这没能阻止你堵住她的嘴）
"TapeGag		",（在你试图用胶布贴住她的嘴时她拼命地摇头，|但这没能阻止你封住她的嘴）
"Crop		",（你用鞭子抽了她几下，但她似乎不觉得痛苦）
"VibratingEggWarning		",（将跳蛋塞进Julia体内|将无法再取出，点击确定）
"VibratingEggInsert		",（你绕过绳子很轻松地就把跳蛋塞了进去，|你甚至不能肯定她感受到了没有）
"NewModelAgree		",我同意，一个害羞的新学生将是一个很好的模特。（她抓住你的胳膊把你带到学生们面前）
"NewModelGagged		",（她点了点头，新的模特走了上来）
PlayerUndressGagged,（她点了点头，你脱掉了你的外衣）
"PlayerStripGagged		",（她点了点头，你脱掉了你所有的衣服）
"FailUngag		",（你试图取下Julia的堵嘴物，|但在学生们的笑声中失败了）
FailUntie,（你试图解开Julia，|但在学生们的笑声中失败了）
"TightenGagged		",（你在她挣扎时拉紧了绳结）|MMNRGN NOG! (她好像在忍耐着什么)
"Tighten		",（你在她挣扎时拉紧了绳结）|新来的你这也捆太紧了！
"FailTighten		",（你试图捆紧Julia，|但在学生们的笑声中失败了）
"Tickle		",（你在班级面前挠了挠她的痒，|她大声地笑着，似乎乐在其中）
"TickleRestrained		",（你尝试着挠了挠她的痒，|她大声地笑着，似乎乐在其中）
"AskNewModelGagged		",（她点了点头，满不在意地看着四周）
"PlayerUngag		",喔！为什么你要把新同学的嘴堵上呢？|（她在笑声中解下了你的堵嘴物）
"PlayerStayGagged		",有人堵住了你的嘴？不错！这就是艺术~|（你需要3点或更高的好感来让她解开你）
"JuliaRestrainedPlayerGagged		",（她努力摆弄着绳子，但没能解开你）
"GaggedSpeach		Eep ah hoze eew wuwii!|",（你听不清她想说什么）
"NoTimeToPaint		",（现在已经没有足够时间完成一幅画了）
CantPaintIfModel,（担任模特时不能作画）
